Graph Title: Question Type - 'checkboxes', Graph Key - 'Overview';The most frequently chosen options
Graph Title: Question Type - 'integer', Graph Key - 'Overview';The most frequently sended values
Graph Title: Question Type - 'radios', Graph Key - 'Overview';The most frequently chosen options
Graph Title: Question Type - 'text', Graph Key - 'Overview';The most frequently sended answers
Graph Title: Question Type - 'textarea', Graph Key - 'Overview';The most frequently sended answers
Graph Title: Question Type - 'connections', Graph Key - 'PresentedOptionsCounts';Number of options included in a response
Graph Title: Question Type - 'connections', Graph Key - 'PresentedAnswersCounts';Number of answers with any option
Graph Title: Question Type - 'connections', Graph Key - 'ConnectionsCorrectness';Number of right and wrong connections for each option
Graph Title: Question Type - 'connections', Graph Key - 'PersonsAnswersCounts';Number of created connections in answers
Graph Title: Question Type - 'connections', Graph Key - 'MostOfftenConnections';Number of most frequently answered connections
Graph Title: Question Type - 'connections', Graph Key - 'PeopleCorrectness';The most common number of correctly connected options
Graph Title: Question Type - 'checkboxes', Graph Key - 'SelectedOptionsCountsInAnswer';The most frequent numbers of checked options in the answer
Graph Title: Question Type - 'checkboxes', Graph Key - 'OptionsCorrectness';The most frequently missed and successfully answered options
Graph Title: Question Type - 'checkboxes', Graph Key - 'PeopleCorrectness';The most common combinations of right and wrong connections in answers
Graph Title: Question Type - 'integer', Graph Key - 'CorrectAnswers';Number of correct answers
Graph Title: Question Type - 'radios', Graph Key - 'CorrectAnswers';Number of correct answers
Graph Title: Question Type - 'connections', Graph Key - 'CorrectAnswers';Number of correct answers
Graph Title: Question Type - 'text', Graph Key - 'CorrectAnswers';Number of correct answers
Graph Title: Question Type - 'connections', Graph Key - 'Involved';Participation in the question
Graph Title: Question Type - 'checkboxes', Graph Key - 'Involved';Participation in the question
Graph Title: Question Type - 'integer', Graph Key - 'Involved';Participation in the question
Graph Title: Question Type - 'radios', Graph Key - 'Involved';Participation in the question
Graph Title: Question Type - 'text', Graph Key - 'Involved';Participation in the question
Graph Title: Question Type - 'textarea', Graph Key - 'Involved';Participation in the question
